;BIP Version: 05.07.00
;Revision Number: 2.0
;Last Changed: Fri Mar 26 10:18:32 2004
;By: BMW EA-33 Muellerwiebus, BMW TI-431 Schiefer, BMW TI-431 Schall
;Package Version: 00000000

;ECU:MS 43.0 fuer M54 mit EWS 3
;ORIGIN:BMW TI-431 Schaller
;REVISION:2.00
;AUTHOR:BMW EA-33 Muellerwiebus, BMW TI-431 Schiefer, BMW TI-431 Schaller
;ECUCOMMENT:


TBEG "FORTTEXTE"
HEAD "ORT", "ORTTEXT", "UW_1", "UW_2", "UW_3", "UW_4"
LINE "0x18", "0x00", "0x28", "0x00", "0x24", "0x00", "0x6A", "0x00", "0x00", "0x01", "0x15", "0x04", "0x14", "0x02", "0x16", "0x05", "0x74"
LINE "0x19", "0x00", "0x28", "0x00", "0x24", "0x00", "0x6A", "0x00", "0x00", "0x03", "0x13", "0x04", "0x14", "0x02", "0x16", "0x05", "0x74"
LINE "0x1B", "0x00", "0x28", "0x00", "0x24", "0x00", "0x6A", "0x00", "0x00", "0x01", "0x15", "0x04", "0x14", "0x02", "0x16", "0x05", "0x74"
LINE "0x1D", "0x00", "0x21", "0x00", "0x19", "0x00", "0x73", "0x00", "0x00", "0x01", "0x15", "0x04", "0x14", "0x02", "0x16", "0x05", "0x74"
LINE "0x1E", "0x00", "0x21", "0x00", "0x19", "0x00", "0x73", "0x00", "0x00", "0x01", "0x15", "0x04", "0x14", "0x02", "0x16", "0x05", "0x74"
LINE "0x1F", "0x00", "0x21", "0x00", "0x19", "0x00", "0x73", "0x00", "0x00", "0x01", "0x15", "0x04", "0x14", "0x02", "0x16", "0x05", "0x74"
LINE "0x21", "0x00", "0x28", "0x00", "0x24", "0x00", "0x6A", "0x00", "0x00", "0x01", "0x15", "0x04", "0x14", "0x02", "0x16", "0x05", "0x74"
LINE "0x23", "0x00", "0x28", "0x00", "0x25", "0x00", "0x00", "0x00", "0x00", "0x01", "0x15", "0x04", "0x14", "0x02", "0x16", "0x05", "0x74"
LINE "0x24", "0x00", "0x1E", "0x00", "0x00", "0x00", "0x00", "0x00", "0x00", "0x01", "0x15", "0x04", "0x14", "0x02", "0x16", "0x05", "0x74"
LINE "0x25", "0x00", "0x84", "0x00", "0x00", "0x00", "0x00", "0x00", "0x00", "0x00", "0x00", "0x04", "0x14", "0x02", "0x16", "0x05", "0x74"
LINE "0x26", "0x00", "0x38", "0x00", "0x00", "0x00", "0x00", "0x00", "0x00", "0x00", "0x00", "0x04", "0x14", "0x02", "0x16", "0x05", "0x74"
LINE "0x27", "0x00", "0x0B", "0x00", "0x0C", "0x00", "0x00", "0x00", "0x00", "0x00", "0x00", "0x04", "0x14", "0x02", "0x16", "0x05", "0x74"
LINE "0x2A", "0x00", "0x00", "0x00", "0x00", "0x00", "0x00", "0x00", "0x53", "0x00", "0x00", "0x04", "0x14", "0x02", "0x16", "0x05", "0x74"
LINE "0x2B", "0x00", "0x00", "0x00", "0x00", "0x00", "0x00", "0x00", "0x6D", "0x00", "0x00", "0x04", "0x14", "0x02", "0x16", "0x05", "0x74"
LINE "0x2D", "0x00", "0x00", "0x00", "0x00", "0x00", "0x00", "0x00", "0x68", "0x00", "0x00", "0x04", "0x14", "0x02", "0x16", "0x05", "0x74"
LINE "0x2F", "0x00", "0x44", "0x00", "0x00", "0x00", "0x00", "0x00", "0x00", "0x01", "0x15", "0x04", "0x14", "0x02", "0x16", "0x05", "0x74"
LINE "0x30", "0x00", "0x00", "0x00", "0x00", "0x00", "0x00", "0x00", "0x5E", "0x01", "0x15", "0x04", "0x14", "0x02", "0x16", "0x05", "0x74"
LINE "0x31", "0x00", "0x00", "0x00", "0x00", "0x00", "0x00", "0x00", "0x43", "0x01", "0x15", "0x04", "0x14", "0x02", "0x16", "0x05", "0x74"
LINE "0x32", "0x00", "0x00", "0x00", "0x00", "0x00", "0x00", "0x00", "0x5E", "0x01", "0x15", "0x04", "0x14", "0x02", "0x16", "0x05", "0x74"
LINE "0x33", "0x00", "0x0A", "0x00", "0x00", "0x00", "0x00", "0x00", "0x00", "0x01", "0x15", "0x04", "0x14", "0x02", "0x16", "0x05", "0x74"
LINE "0x34", "0x00", "0x28", "0x00", "0x26", "0x00", "0x00", "0x00", "0x00", "0x00", "0x00", "0x04", "0x14", "0x02", "0x16", "0x05", "0x74"
LINE "0x35", "0x00", "0x28", "0x00", "0x24", "0x00", "0x6A", "0x00", "0x00", "0x01", "0x15", "0x04", "0x14", "0x02", "0x16", "0x05", "0x74"
